dataset,method,hyperparam,val_split,accuracy_mean,accuracy_std,accuracy_count,precision_macro_mean,precision_macro_std,precision_macro_count,recall_macro_mean,recall_macro_std,recall_macro_count,f1_macro_mean,f1_macro_std,f1_macro_count,fpr_macro_mean,fpr_macro_std,fpr_macro_count
cifar10,Dropconnect,0.1,val0.6,0.66108,0.006004590836277777,10,0.6625838796453238,0.006241085202444882,10,0.6609329107090256,0.0060899700474921735,10,0.6608353385000427,0.005966217928713184,10,0.037653890274751765,0.0006689948753586023,10
cifar10,Dropconnect,0.1,val0.8,0.49668,0.007098168777931377,10,0.5007743890166578,0.007137594761620084,10,0.49638890505337907,0.006669765305461952,10,0.49652271042350105,0.006784367679733984,10,0.05592232361775414,0.0007924981569011004,10
cifar10,Dropconnect,0.1,val0.895,0.25671999999999995,0.009406475311070441,10,0.2635267406307999,0.015324291573184736,10,0.25670470405128487,0.010034194179045903,10,0.25245729627500546,0.010609690966510292,10,0.08257294970601653,0.0010674489019679764,10
cifar10,Dropconnect,0.5,val0.6,0.47884000000000004,0.007008439357105274,10,0.4821846591797252,0.006265897264258773,10,0.478823555072318,0.006711596103150693,10,0.4717868209606809,0.007317406912686437,10,0.05789162893309482,0.0007878841110058977,10
cifar10,Dropconnect,0.5,val0.8,0.39458000000000004,0.011668552228580492,10,0.40108563063951197,0.016681104124513395,10,0.3947293089810585,0.011257097172558314,10,0.3841358207007432,0.015059593320750258,10,0.06724494996257149,0.0013103279548699624,10
cifar10,Dropconnect,0.5,val0.895,0.22480000000000003,0.007307834456557186,10,0.201272619851916,0.05045735836162889,10,0.22455212810634703,0.007496546160181232,10,0.18199269518439748,0.016273968503210105,10,0.08612863381009428,0.0008158770744632672,10
cifar10,Dropout,0.1,val0.6,0.5908599999999999,0.010314197335065247,10,0.5928159086443783,0.010758052869829452,10,0.5904594130262326,0.009821547714074735,10,0.5880895099476331,0.01122187616728421,10,0.045458130184973654,0.001145084027411326,10
cifar10,Dropout,0.1,val0.8,0.4354,0.016433029070881726,10,0.4431687218507284,0.016854430782763684,10,0.4350545908805786,0.015990339251527413,10,0.4283553800893521,0.01920677284420289,10,0.06272896858477915,0.0018492258209650055,10
cifar10,Dropout,0.1,val0.895,0.22437999999999997,0.0187231170244463,10,0.22315582104734005,0.045171876461444334,10,0.2249974071428528,0.017990610269335572,10,0.1890166901375586,0.030340116627664362,10,0.08612304844707899,0.0020532437302311192,10
cifar10,Dropout,0.5,val0.6,0.5518799999999999,0.008297897993534933,10,0.5545629053653828,0.008737959264991994,10,0.5517406610801334,0.008251544071472001,10,0.5456813108846295,0.008942882644800395,10,0.04978192518843992,0.000928192533696735,10
cifar10,Dropout,0.5,val0.8,0.41958,0.020228571652766557,10,0.4270378319964263,0.023495680222949546,10,0.4197027211936303,0.020153905142341826,10,0.4101501376767563,0.02395746060567691,10,0.06447077435542999,0.002240386209339063,10
cifar10,Dropout,0.5,val0.895,0.21950000000000003,0.01300196566335687,10,0.22027939227989343,0.04149414413410419,10,0.2200959820756411,0.013411488079744545,10,0.17865130572337318,0.030870375764067613,10,0.08666155296140451,0.0014543698117990328,10
cifar10,Ising,0.1,val0.6,0.57682,0.00751203478870186,10,0.5751366867050375,0.007814220473120035,10,0.576846385144081,0.007771969658233012,10,0.5731970077765068,0.0077216842346690085,10,0.04700808931755633,0.00083648491667018,10
cifar10,Ising,0.1,val0.8,0.45914,0.006059739635037505,10,0.45940955856386934,0.004552330142230654,10,0.45911463346975917,0.005655292459754153,10,0.45484401192498386,0.0054885733374499725,10,0.06008296122021613,0.000677310821569071,10
cifar10,Ising,0.1,val0.895,0.25404,0.01128334071885528,10,0.2575270676920971,0.016371808463883013,10,0.25371247427212196,0.011807924140187609,10,0.23911318365779793,0.011810014498590198,10,0.08287732432161728,0.0012748298555204363,10
cifar10,Ising,0.5,val0.6,0.5583,0.009189970378382917,10,0.5571443768127343,0.00996869550794403,10,0.558104319519632,0.009139554427429832,10,0.5546914332249099,0.009712859858549899,10,0.04906864043453323,0.0010246517447042947,10
cifar10,Ising,0.5,val0.8,0.42774,0.007108711400653293,10,0.4349968591985397,0.011155149393015679,10,0.42793389772872625,0.0076996921044318505,10,0.42069671213957455,0.007978184283730363,10,0.06356245720205302,0.0008136184432750365,10
cifar10,Ising,0.5,val0.895,0.23881999999999998,0.01353857041525762,10,0.23211106607560755,0.019286887610025415,10,0.23859098473895357,0.013423969874050073,10,0.20784482320557154,0.01786821177596361,10,0.08456533317858059,0.0015142568740519132,10
cifar100,Dropconnect,0.1,val0.1,0.57412,0.021198396165748024,5,0.5753412800619022,0.020588135448933755,5,0.574682674150963,0.023002264426167103,5,0.5651701831301003,0.022660512142219414,5,0.004301950117877167,0.00021422934552728585,5
cifar100,Dropconnect,0.1,val0.6,0.39596,0.006279985845702359,10,0.398120509913614,0.00819804615456623,10,0.3962601088564114,0.006240013228364822,10,0.3907894529980448,0.006825962966851888,10,0.006101484914366086,6.350972321418342e-05,10
cifar100,Dropconnect,0.1,val0.8,0.22018,0.007796551944431733,10,0.22310306124598323,0.006724340685709026,10,0.22114831946411867,0.007868881697535234,10,0.2163791392422537,0.007439458934244628,10,0.007876969847941664,7.869921090708876e-05,10
cifar100,Dropconnect,0.1,val0.895,0.04566,0.006013355506241457,10,0.04131959313301217,0.005281759970155544,10,0.04554795630019887,0.005885651758722298,10,0.03644020372696419,0.003902536473255285,10,0.009639890803228293,5.994855550035846e-05,10
cifar100,Dropconnect,0.5,val0.1,0.19556,0.007737441437581288,5,0.1756848220176154,0.014489863290894243,5,0.19557161659105854,0.0056826333276461475,5,0.1535921328244783,0.006135579543390488,5,0.008126192114997311,7.748534950666946e-05,5
cifar100,Dropconnect,0.5,val0.6,0.15814,0.005626958918160558,10,0.13440763404663364,0.013672375402708681,10,0.15884957999566388,0.003788559107834746,10,0.1184473742237987,0.0042890333715300995,10,0.008503808140526085,5.611943214173608e-05,10
cifar100,Dropconnect,0.5,val0.8,0.1157,0.0031640339933558075,10,0.09135830041983439,0.009231014388766522,10,0.11652425970438758,0.0023664116119757913,10,0.08068912390577068,0.002565110461258636,10,0.008932366823438965,3.168441277589009e-05,10
cifar100,Dropconnect,0.5,val0.895,0.028999999999999998,0.002420284648089513,10,0.005801286801539305,0.0024400306471608355,10,0.02897575956836565,0.002614442888457053,10,0.007140212710622353,0.0017340138307678915,10,0.00980918172668933,2.3720503212511594e-05,10
cifar100,Dropout,0.1,val0.1,0.7694799999999999,0.01382360300355882,5,0.7713708294202799,0.015195025001363587,5,0.7700065312121208,0.014684771494069649,5,0.7679748055332198,0.014984536959271042,5,0.002328453668661602,0.00013956699111376784,5
cifar100,Dropout,0.1,val0.6,0.29159999999999997,0.0118853785056355,10,0.29245442624814894,0.016566730265765477,10,0.29202820233574217,0.01187614570683497,10,0.28115254730783157,0.013857466838432133,10,0.007155604129177835,0.00011994481191976,10
cifar100,Dropout,0.1,val0.8,0.12706,0.004938780776219525,10,0.12585124181485413,0.010308732333844654,10,0.12770611278874186,0.004690042510868098,10,0.10773657425014696,0.006564611697319207,10,0.008817824935305005,4.91362075764156e-05,10
cifar100,Dropout,0.1,val0.895,0.01628,0.0051399956766086455,10,0.0028027655061893418,0.0021667731171720068,10,0.016245843661161993,0.004864160055472587,10,0.002878846835659487,0.001367215087040865,10,0.009936998228455028,4.97262280896126e-05,10
cifar100,Dropout,0.5,val0.1,0.30047999999999997,0.06463909034013396,5,0.29160208089352624,0.0683204222254479,5,0.30202652035134525,0.06306235108728779,5,0.2778109036620481,0.06785536813573613,5,0.00706587976396931,0.0006530449287483333,5
cifar100,Dropout,0.5,val0.6,0.18594,0.05467829551110751,10,0.17417139530073394,0.06062099660375821,10,0.18673159666206673,0.05349832307869199,10,0.1626704993576371,0.058058273012080844,10,0.00822277967890975,0.0005519477337315179,10
cifar100,Dropout,0.5,val0.8,0.06856,0.03337008640484269,10,0.05078600454822775,0.02945857534197026,10,0.06884469626755518,0.03324621744850287,10,0.04566859470090927,0.027410563490743212,10,0.009411282734086143,0.0003401358650566319,10
